Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 80, 1053, 80, 80, 80.815, 0.815, 10240, 0, 80.815, 82.506, 1.691, 1649, 82.506, 83.334, 0.828, 8192, 0, 83.334, 85.566, 2.233, 1200, 85.566, 86.419, 0.853, 10240, 0,     6.419,
 79, 1053, 79, 79, 80.027, 1.027, 13312, 0, 80.027, 82.563, 2.536, 1979, 82.563, 84.255, 1.692, 9216, 0, 84.255, 86.101, 1.846, 1350, 86.101, 87.297, 1.196, 12288, 0,     8.297,
 81, 1053, 81, 81, 82.105, 1.105, 14336, 0, 82.105, 84.792, 2.687, 2229, 84.792, 85.924, 1.133, 11264, 0, 85.924, 88.182, 2.258, 1650, 88.182, 89.206, 1.024, 14336, 0,     8.206,
 82, 1053, 82, 82, 83.059, 1.059, 12288, 0, 83.059, 85.015, 1.956, 1908, 85.015, 86.846, 1.831, 9216, 0, 86.846, 88.683, 1.837, 1350, 88.683, 90.084, 1.401, 12288, 0,     8.084,
 83, 1053, 83, 83, 84.085, 1.085, 13312, 0, 84.085, 86.888, 2.803, 2045, 86.888, 87.918, 1.03, 10240, 0, 87.918, 90.233, 2.315, 1500, 90.233, 91.184, 0.951, 13312, 0,     8.184,
 84, 1053, 84, 84, 85.114, 1.114, 13312, 0, 85.114, 87.204, 2.09, 2030, 87.204, 88.95, 1.746, 10240, 0, 88.95, 90.992, 2.042, 1500, 90.992, 92.14, 1.148, 13312, 0,     8.140,
 85, 1053, 85, 85, 86.138, 1.138, 13312, 0, 86.138, 88.999, 2.861, 2053, 88.999, 90.028, 1.03, 10240, 0, 90.028, 92.284, 2.255, 1500, 92.284, 93.235, 0.951, 13312, 0,     8.235,
 86, 1053, 86, 86, 87.241, 1.241, 14336, 0, 87.241, 89.436, 2.195, 2141, 89.436, 91.06, 1.623, 10240, 0, 91.06, 93.116, 2.056, 1500, 93.116, 94.186, 1.07, 13312, 0,     8.186,
 87, 1053, 87, 87, 88.265, 1.265, 13312, 0, 88.265, 91.122, 2.857, 2066, 91.122, 92.152, 1.03, 10240, 0, 92.152, 94.341, 2.189, 1500, 94.341, 95.292, 0.951, 13312, 0,     8.292,
 88, 1053, 88, 88, 89.212, 1.212, 12288, 0, 89.212, 91.346, 2.134, 1849, 91.346, 93.074, 1.728, 9216, 0, 93.074, 94.971, 1.897, 1350, 94.971, 96.172, 1.201, 12288, 0,     8.172,
 89, 1053, 89, 89, 90.394, 1.394, 15360, 0, 90.394, 93.437, 3.043, 2258, 93.437, 94.578, 1.141, 11264, 0, 94.578, 96.844, 2.266, 1650, 96.844, 97.875, 1.031, 14336, 0,     8.875,
 90, 1053, 90, 90, 91.576, 1.576, 15360, 0, 91.576, 93.895, 2.319, 2257, 93.895, 95.704, 1.809, 11264, 0, 95.704, 97.959, 2.255, 1650, 97.959, 98.992, 1.032, 14336, 0,     8.992,
 91, 1053, 91, 91, 92.445, 1.445, 11264, 0, 92.445, 95.167, 2.722, 1688, 95.167, 96.525, 1.357, 8192, 0, 96.525, 98.49, 1.965, 1200, 98.49, 99.723, 1.233, 10240, 0,     8.723,
 92, 1053, 92, 92, 93.39, 1.39, 12288, 0, 93.39, 95.851, 2.461, 1908, 95.851, 97.446, 1.595, 9216, 0, 97.446, 99.811, 2.365, 1350, 99.811, 100.689, 0.878, 12288, 0,     8.689,
 93, 1053, 93, 93, 94.336, 1.336, 12288, 0, 94.336, 97.013, 2.677, 1800, 97.013, 98.368, 1.355, 9216, 0, 98.368, 100.337, 1.97, 1350, 100.337, 101.57, 1.233, 12288, 0,     8.570,
 94, 1053, 94, 94, 95.524, 1.524, 15360, 0, 95.524, 98.174, 2.65, 2256, 98.174, 99.494, 1.32, 11264, 0, 99.494, 102.084, 2.59, 1650, 102.084, 103.108, 1.024, 14336, 0,     9.108,
 95, 1053, 95, 95, 96.706, 1.706, 15360, 0, 96.706, 99.422, 2.716, 2334, 99.422, 100.62, 1.198, 11264, 0, 100.62, 102.884, 2.264, 1650, 102.884, 104.132, 1.247, 14336, 0,     9.132,
 96, 1053, 96, 96, 97.494, 1.494, 10240, 0, 97.494, 99.826, 2.332, 1612, 99.826, 101.439, 1.613, 8192, 0, 101.439, 103.724, 2.285, 1200, 103.724, 104.867, 1.142, 10240, 0,     8.867,
 97, 1053, 97, 97, 98.287, 1.287, 10240, 0, 98.287, 101.106, 2.819, 1641, 101.106, 102.259, 1.153, 8192, 0, 102.259, 104.529, 2.27, 1200, 104.529, 105.602, 1.073, 10240, 0,     8.602,
 98, 1053, 98, 98, 99.074, 1.074, 10240, 0, 99.074, 101.463, 2.389, 1597, 101.463, 102.976, 1.512, 7168, 0, 102.976, 105.16, 2.185, 1050, 105.16, 106.26, 1.1, 9216, 0,     8.260,
 99, 1053, 99, 99, 100.184, 1.184, 14336, 0, 100.184, 103.332, 3.147, 2171, 103.332, 104.362, 1.031, 10240, 0, 104.362, 106.587, 2.225, 1500, 106.587, 107.538, 0.951, 13312, 0,     8.538,
 100, 1053, 100, 100, 101.209, 1.209, 13312, 0, 101.209, 103.562, 2.353, 2047, 103.562, 105.388, 1.826, 10240, 0, 105.388, 107.439, 2.051, 1500, 107.439, 108.489, 1.05, 13312, 0,     8.489,
 101, 1053, 101, 101, 101.997, 0.997, 10240, 0, 101.997, 104.955, 2.958, 1581, 104.955, 106.105, 1.15, 7168, 0, 106.105, 108.031, 1.926, 1050, 108.031, 109.148, 1.117, 9216, 0,     8.148,
 102, 1053, 102, 102, 102.868, 0.868, 11264, 0, 102.868, 105.4, 2.531, 1792, 105.4, 106.934, 1.534, 8192, 0, 106.934, 109.082, 2.148, 1200, 109.082, 109.881, 0.799, 10240, 0,     7.881,
 103, 1053, 103, 103, 104.03, 1.03, 13312, 0, 104.03, 106.981, 2.951, 1976, 106.981, 107.909, 0.927, 9216, 0, 107.909, 109.881, 1.972, 1350, 109.881, 110.759, 0.879, 12288, 0,     7.759,
 104, 1053, 104, 104, 105.056, 1.056, 13312, 0, 105.056, 107.43, 2.374, 1980, 107.43, 108.835, 1.405, 9216, 0, 108.835, 110.928, 2.093, 1350, 110.928, 111.807, 0.879, 12288, 0,     7.807,
