Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 50, 14, 50, 50, 52.495, 2.495, 11264, 0, 52.495, 57.045, 4.55, 595, 57.045, 58.057, 1.012, 17408, 0, 58.057, 59.586, 1.529, 1360, 59.586, 60.664, 1.078, 8192, 0, 60.664, 61.802, 1.138, 800, 61.802, 62.06, 0.258, 4096, 0,    12.060,
 51, 14, 51, 51, 53.693, 2.693, 11264, 0, 53.693, 58.068, 4.375, 562, 58.068, 58.969, 0.901, 16384, 0, 58.969, 60.57, 1.601, 1280, 60.57, 61.648, 1.078, 8192, 0, 61.648, 62.893, 1.245, 800, 62.893, 63.159, 0.266, 4096, 0,    12.159,
 52, 14, 52, 52, 54.781, 2.781, 11264, 0, 54.781, 59.085, 4.304, 561, 59.085, 60.034, 0.949, 16384, 0, 60.034, 61.68, 1.646, 1280, 61.68, 62.536, 0.856, 8192, 0, 62.536, 63.957, 1.421, 800, 63.957, 64.229, 0.272, 4096, 0,    12.229,
 53, 14, 53, 53, 56.036, 3.036, 12288, 0, 56.036, 60.231, 4.195, 628, 60.231, 61.336, 1.105, 18432, 0, 61.336, 63.068, 1.732, 1440, 63.068, 64.228, 1.16, 9216, 0, 64.228, 65.345, 1.117, 900, 65.345, 65.677, 0.332, 5120, 0,    12.677,
 54, 14, 54, 54, 57.203, 3.203, 13312, 0, 57.203, 61.571, 4.367, 657, 61.571, 62.784, 1.214, 19456, 0, 62.784, 64.439, 1.654, 1520, 64.439, 65.525, 1.086, 9216, 0, 65.525, 66.603, 1.078, 900, 66.603, 66.896, 0.293, 5120, 0,    12.896,
 55, 14, 55, 55, 58.406, 3.406, 12288, 0, 58.406, 62.794, 4.389, 615, 62.794, 63.833, 1.039, 18432, 0, 63.833, 65.551, 1.718, 1440, 65.551, 66.62, 1.069, 9216, 0, 66.62, 67.75, 1.129, 900, 67.75, 68.099, 0.349, 5120, 0,    13.099,
 56, 14, 56, 56, 59.476, 3.476, 11264, 0, 59.476, 63.906, 4.429, 579, 63.906, 65.033, 1.128, 17408, 0, 65.033, 66.601, 1.568, 1360, 66.601, 67.718, 1.117, 8192, 0, 67.718, 68.836, 1.117, 800, 68.836, 69.162, 0.326, 4096, 0,    13.162,
 57, 14, 57, 57, 60.405, 3.405, 10240, 0, 60.405, 64.912, 4.507, 541, 64.912, 66.026, 1.114, 16384, 0, 66.026, 67.546, 1.52, 1280, 67.546, 68.711, 1.166, 8192, 0, 68.711, 69.795, 1.084, 800, 69.795, 70.058, 0.262, 4096, 0,    13.058,
 58, 14, 58, 58, 61.406, 3.406, 11264, 0, 61.406, 65.966, 4.56, 571, 65.966, 67, 1.034, 17408, 0, 67, 68.641, 1.641, 1360, 68.641, 69.729, 1.088, 8192, 0, 69.729, 70.844, 1.115, 800, 70.844, 71.135, 0.291, 4096, 0,    13.135,
 59, 14, 59, 59, 62.39, 3.39, 10240, 0, 62.39, 66.899, 4.509, 519, 66.899, 67.846, 0.947, 15360, 0, 67.846, 69.575, 1.729, 1200, 69.575, 70.55, 0.975, 7168, 0, 70.55, 71.827, 1.277, 700, 71.827, 72.019, 0.192, 3072, 0,    13.019,
 60, 14, 60, 60, 63.352, 3.352, 10240, 0, 63.352, 67.859, 4.507, 503, 67.859, 68.721, 0.862, 15360, 0, 68.721, 70.775, 2.054, 1200, 70.775, 71.514, 0.739, 7168, 0, 71.514, 72.691, 1.177, 700, 72.691, 72.901, 0.21, 3072, 0,    12.901,
 61, 14, 61, 61, 64.204, 3.204, 9216, 0, 64.204, 68.809, 4.604, 489, 68.809, 69.657, 0.848, 14336, 0, 69.657, 71.788, 2.131, 1120, 71.788, 72.582, 0.794, 7168, 0, 72.582, 73.617, 1.035, 700, 73.617, 73.808, 0.191, 3072, 0,    12.808,
 62, 14, 62, 62, 65.239, 3.239, 11264, 0, 65.239, 69.836, 4.596, 558, 69.836, 70.785, 0.949, 16384, 0, 70.785, 72.766, 1.981, 1280, 72.766, 73.745, 0.979, 8192, 0, 73.745, 74.739, 0.995, 800, 74.739, 74.981, 0.241, 4096, 0,    12.981,
 63, 14, 63, 63, 66.172, 3.172, 10240, 0, 66.172, 70.785, 4.613, 521, 70.785, 71.827, 1.042, 15360, 0, 71.827, 73.678, 1.85, 1200, 73.678, 74.596, 0.918, 7168, 0, 74.596, 75.67, 1.074, 700, 75.67, 75.844, 0.174, 3072, 0,    12.844,
 64, 14, 64, 64, 67.217, 3.217, 11264, 0, 67.217, 71.768, 4.551, 564, 71.768, 72.877, 1.109, 16384, 0, 72.877, 74.673, 1.796, 1280, 74.673, 75.734, 1.061, 8192, 0, 75.734, 76.715, 0.981, 800, 76.715, 76.954, 0.239, 4096, 0,    12.954,
 65, 14, 65, 65, 68.216, 3.216, 10240, 0, 68.216, 72.736, 4.52, 518, 72.736, 73.854, 1.118, 15360, 0, 73.854, 75.657, 1.803, 1200, 75.657, 76.563, 0.906, 7168, 0, 76.563, 77.543, 0.98, 700, 77.543, 77.743, 0.2, 3072, 0,    12.743,
 66, 14, 66, 66, 69.12, 3.12, 9216, 0, 69.12, 73.613, 4.493, 473, 73.613, 74.652, 1.039, 14336, 0, 74.652, 76.543, 1.892, 1120, 76.543, 77.484, 0.94, 7168, 0, 77.484, 78.506, 1.022, 700, 78.506, 78.694, 0.188, 3072, 0,    12.694,
 67, 14, 67, 67, 70.123, 3.123, 10240, 0, 70.123, 74.575, 4.452, 523, 74.575, 75.541, 0.966, 15360, 0, 75.541, 77.547, 2.006, 1200, 77.547, 78.335, 0.789, 7168, 0, 78.335, 79.396, 1.061, 700, 79.396, 79.575, 0.179, 3072, 0,    12.575,
 68, 14, 68, 68, 71.37, 3.37, 12288, 0, 71.37, 75.906, 4.536, 644, 75.906, 77.196, 1.291, 19456, 0, 77.196, 78.768, 1.572, 1520, 78.768, 79.773, 1.004, 9216, 0, 79.773, 80.833, 1.061, 900, 80.833, 81.144, 0.31, 5120, 0,    13.144,
 69, 14, 69, 69, 72.657, 3.657, 13312, 0, 72.657, 77.08, 4.423, 652, 77.08, 78.41, 1.329, 19456, 0, 78.41, 79.951, 1.541, 1520, 79.951, 81.012, 1.061, 9216, 0, 81.012, 82.187, 1.176, 900, 82.187, 82.515, 0.327, 5120, 0,    13.515,
 70, 14, 70, 70, 73.889, 3.889, 12288, 0, 73.889, 78.218, 4.33, 616, 78.218, 79.582, 1.363, 18432, 0, 79.582, 81.075, 1.494, 1440, 81.075, 82.177, 1.102, 9216, 0, 82.177, 83.442, 1.264, 900, 83.442, 83.727, 0.285, 5120, 0,    13.727,
 71, 14, 71, 71, 75.155, 4.155, 12288, 0, 75.155, 79.333, 4.178, 625, 79.333, 81.027, 1.694, 18432, 0, 81.027, 82.174, 1.147, 1440, 82.174, 83.282, 1.107, 9216, 0, 83.282, 84.666, 1.384, 900, 84.666, 84.942, 0.277, 5120, 0,    13.942,
 72, 14, 72, 72, 76.509, 4.509, 12288, 0, 76.509, 80.544, 4.035, 647, 80.544, 82.217, 1.673, 19456, 0, 82.217, 83.382, 1.166, 1520, 83.382, 84.333, 0.951, 9216, 0, 84.333, 85.865, 1.531, 900, 85.865, 86.211, 0.346, 5120, 0,    14.211,
 73, 14, 73, 73, 77.701, 4.701, 12288, 0, 77.701, 81.694, 3.993, 628, 81.694, 83.368, 1.674, 18432, 0, 83.368, 84.603, 1.235, 1440, 84.603, 85.743, 1.14, 9216, 0, 85.743, 87.033, 1.291, 900, 87.033, 87.319, 0.285, 5120, 0,    14.319,
 74, 14, 74, 74, 78.736, 4.736, 11264, 0, 78.736, 82.851, 4.115, 580, 82.851, 84.433, 1.582, 17408, 0, 84.433, 85.643, 1.21, 1360, 85.643, 86.605, 0.963, 8192, 0, 86.605, 88.147, 1.542, 800, 88.147, 88.388, 0.241, 4096, 0,    14.388,
 75, 14, 75, 75, 79.743, 4.743, 10240, 0, 79.743, 83.886, 4.143, 535, 83.886, 85.371, 1.485, 16384, 0, 85.371, 86.679, 1.308, 1280, 86.679, 87.634, 0.954, 8192, 0, 87.634, 89.236, 1.602, 800, 89.236, 89.534, 0.299, 4096, 0,    14.534,
 76, 14, 76, 76, 80.751, 4.751, 11264, 0, 80.751, 85.144, 4.393, 595, 85.144, 86.329, 1.185, 17408, 0, 86.329, 87.825, 1.496, 1360, 87.825, 88.669, 0.844, 8192, 0, 88.669, 90.251, 1.583, 800, 90.251, 90.488, 0.237, 4096, 0,    14.488,
 77, 14, 77, 77, 81.896, 4.896, 12288, 0, 81.896, 86.267, 4.37, 634, 86.267, 87.474, 1.207, 19456, 0, 87.474, 88.96, 1.486, 1520, 88.96, 89.899, 0.939, 9216, 0, 89.899, 91.424, 1.525, 900, 91.424, 91.752, 0.328, 5120, 0,    14.752,
 78, 14, 78, 78, 82.851, 4.851, 11264, 0, 82.851, 87.251, 4.4, 560, 87.251, 88.503, 1.253, 16384, 0, 88.503, 90.052, 1.549, 1280, 90.052, 90.945, 0.893, 8192, 0, 90.945, 92.488, 1.544, 800, 92.488, 92.711, 0.223, 4096, 0,    14.711,
 79, 14, 79, 79, 84.041, 5.041, 12288, 0, 84.041, 88.487, 4.446, 616, 88.487, 89.64, 1.154, 18432, 0, 89.64, 91.213, 1.573, 1440, 91.213, 92.221, 1.008, 9216, 0, 92.221, 93.607, 1.386, 900, 93.607, 93.892, 0.285, 5120, 0,    14.892,
