Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 24, 9, 24, 24, 25.085, 1.085, 15360, 0, 25.085, 26.148, 1.063, 753, 26.148, 27.198, 1.05, 22528, 0, 27.198, 28.086, 0.887, 1760, 28.086, 29.003, 0.917, 11264, 0, 29.003, 30.237, 1.234, 1650, 30.237, 30.958, 0.721, 7168, 0, 30.958, 32.215, 1.257, 1400, 32.215, 32.562, 0.347, 5120, 0,     8.562,
 25, 9, 25, 25, 26.122, 1.122, 15360, 0, 26.122, 27.075, 0.952, 770, 27.075, 28.046, 0.971, 23552, 0, 28.046, 29, 0.954, 1840, 29, 29.929, 0.929, 11264, 0, 29.929, 31.102, 1.174, 1650, 31.102, 32.087, 0.985, 7168, 0, 32.087, 33.134, 1.047, 1400, 33.134, 33.575, 0.441, 5120, 0,     8.575,
 26, 9, 26, 26, 26.996, 0.996, 15360, 0, 26.996, 28.066, 1.07, 770, 28.066, 29.037, 0.971, 23552, 0, 29.037, 29.945, 0.908, 1840, 29.945, 30.742, 0.798, 11264, 0, 30.742, 31.957, 1.215, 1650, 31.957, 32.824, 0.866, 7168, 0, 32.824, 34, 1.176, 1400, 34, 34.37, 0.37, 5120, 0,     8.370,
 27, 9, 27, 27, 27.828, 0.828, 13312, 0, 27.828, 29, 1.172, 687, 29, 29.891, 0.891, 20480, 0, 29.891, 30.907, 1.016, 1600, 30.907, 31.682, 0.775, 10240, 0, 31.682, 32.766, 1.084, 1500, 32.766, 33.449, 0.683, 6144, 0, 33.449, 34.737, 1.288, 1200, 34.737, 35.204, 0.467, 5120, 0,     8.204,
 28, 9, 28, 28, 28.66, 0.66, 11264, 0, 28.66, 29.792, 1.131, 597, 29.792, 30.569, 0.778, 17408, 0, 30.569, 31.857, 1.287, 1360, 31.857, 32.63, 0.773, 8192, 0, 32.63, 33.46, 0.83, 1200, 33.46, 33.961, 0.501, 5120, 0, 33.961, 35.376, 1.414, 1000, 35.376, 35.657, 0.282, 4096, 0,     7.657,
 29, 9, 29, 29, 29.696, 0.696, 12288, 0, 29.696, 30.508, 0.812, 624, 30.508, 31.254, 0.746, 18432, 0, 31.254, 32.554, 1.3, 1440, 32.554, 33.365, 0.811, 9216, 0, 33.365, 34.316, 0.95, 1350, 34.316, 34.983, 0.667, 6144, 0, 34.983, 36.134, 1.152, 1200, 36.134, 36.547, 0.412, 5120, 0,     7.547,
 30, 9, 30, 30, 31.028, 1.028, 15360, 0, 31.028, 32.194, 1.166, 757, 32.194, 32.972, 0.778, 22528, 0, 32.972, 33.889, 0.917, 1760, 33.889, 34.707, 0.818, 11264, 0, 34.707, 35.574, 0.867, 1650, 35.574, 36.268, 0.694, 7168, 0, 36.268, 37.139, 0.871, 1400, 37.139, 37.589, 0.449, 5120, 0,     7.589,
 31, 9, 31, 31, 31.761, 0.761, 13312, 0, 31.761, 33.097, 1.336, 684, 33.097, 33.866, 0.769, 20480, 0, 33.866, 34.71, 0.844, 1600, 34.71, 35.454, 0.744, 10240, 0, 35.454, 36.443, 0.989, 1500, 36.443, 37.1, 0.657, 6144, 0, 37.1, 37.897, 0.797, 1200, 37.897, 38.287, 0.389, 5120, 0,     7.287,
 32, 9, 32, 32, 32.9, 0.9, 12288, 0, 32.9, 33.902, 1.001, 646, 33.902, 34.655, 0.754, 19456, 0, 34.655, 35.595, 0.94, 1520, 35.595, 36.333, 0.738, 9216, 0, 36.333, 37.235, 0.903, 1350, 37.235, 37.849, 0.614, 6144, 0, 37.849, 38.644, 0.795, 1200, 38.644, 38.979, 0.335, 5120, 0,     6.979,
 33, 9, 33, 33, 33.805, 0.805, 13312, 0, 33.805, 34.763, 0.958, 671, 34.763, 35.544, 0.781, 20480, 0, 35.544, 36.416, 0.872, 1600, 36.416, 37.244, 0.828, 10240, 0, 37.244, 38.069, 0.825, 1500, 38.069, 38.755, 0.686, 6144, 0, 38.755, 39.426, 0.671, 1200, 39.426, 39.765, 0.34, 5120, 0,     6.765,
 34, 9, 34, 34, 34.612, 0.612, 11264, 0, 34.612, 35.53, 0.918, 582, 35.53, 36.213, 0.683, 17408, 0, 36.213, 37.09, 0.878, 1360, 37.09, 37.872, 0.782, 8192, 0, 37.872, 38.746, 0.874, 1200, 38.746, 39.294, 0.548, 5120, 0, 39.294, 40.039, 0.745, 1000, 40.039, 40.313, 0.274, 4096, 0,     6.313,
 35, 9, 35, 35, 35.933, 0.933, 13312, 0, 35.933, 36.806, 0.873, 684, 36.806, 37.587, 0.782, 20480, 0, 37.587, 38.436, 0.849, 1600, 38.436, 39.231, 0.796, 10240, 0, 39.231, 40.039, 0.808, 1500, 40.039, 40.682, 0.643, 6144, 0, 40.682, 41.377, 0.695, 1200, 41.377, 41.789, 0.412, 5120, 0,     6.789,
 36, 9, 36, 36, 36.902, 0.902, 15360, 0, 36.902, 37.901, 0.999, 776, 37.901, 38.786, 0.884, 23552, 0, 38.786, 39.679, 0.893, 1840, 39.679, 40.495, 0.816, 11264, 0, 40.495, 41.377, 0.882, 1650, 41.377, 42.284, 0.907, 7168, 0, 42.284, 43.197, 0.912, 1400, 43.197, 43.567, 0.37, 5120, 0,     7.567,
 37, 9, 37, 37, 37.994, 0.994, 15360, 0, 37.994, 38.93, 0.936, 797, 38.93, 39.796, 0.866, 23552, 0, 39.796, 40.693, 0.897, 1840, 40.693, 41.609, 0.916, 11264, 0, 41.609, 42.516, 0.908, 1650, 42.516, 43.265, 0.748, 7168, 0, 43.265, 44.159, 0.894, 1400, 44.159, 44.512, 0.354, 5120, 0,     7.512,
