Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 75, 63, 75, 75, 76.093, 1.093, 13312, 0, 76.093, 78, 1.907, 1326, 78, 79.481, 1.481, 13312, 0,     4.481,
 76, 63, 76, 76, 77.05, 1.05, 13312, 0, 77.05, 79.503, 2.453, 1316, 79.503, 80.392, 0.889, 13312, 0,     4.392,
 77, 63, 77, 77, 78.224, 1.224, 16384, 0, 78.224, 80.577, 2.353, 1648, 80.577, 81.671, 1.094, 16384, 0,     4.671,
 78, 63, 78, 78, 79.33, 1.33, 15360, 0, 79.33, 81.712, 2.383, 1537, 81.712, 82.738, 1.026, 15360, 0,     4.738,
 79, 63, 79, 79, 80.427, 1.427, 15360, 0, 80.427, 82.732, 2.305, 1501, 82.732, 83.762, 1.03, 15360, 0,     4.762,
 80, 63, 80, 80, 81.524, 1.524, 15360, 0, 81.524, 83.95, 2.426, 1567, 83.95, 84.979, 1.029, 15360, 0,     4.979,
 81, 63, 81, 81, 82.622, 1.622, 15360, 0, 82.622, 84.896, 2.275, 1515, 84.896, 86.003, 1.107, 15360, 0,     5.003,
 82, 63, 82, 82, 83.72, 1.72, 15360, 0, 83.72, 86.102, 2.382, 1507, 86.102, 87.128, 1.026, 15360, 0,     5.128,
 83, 63, 83, 83, 84.89, 1.89, 16384, 0, 84.89, 87.251, 2.361, 1644, 87.251, 88.346, 1.094, 16384, 0,     5.346,
 84, 63, 84, 84, 85.695, 1.695, 11264, 0, 85.695, 87.778, 2.083, 1167, 87.778, 89.097, 1.319, 11264, 0,     5.097,
 85, 63, 85, 85, 86.645, 1.645, 13312, 0, 86.645, 89.152, 2.507, 1331, 89.152, 90.042, 0.889, 13312, 0,     5.042,
 86, 63, 86, 86, 87.452, 1.452, 11264, 0, 87.452, 89.473, 2.02, 1184, 89.473, 90.793, 1.32, 11264, 0,     4.793,
 88, 63, 88, 88, 89.427, 1.427, 12288, 0, 89.427, 91.292, 1.865, 1266, 91.292, 92.113, 0.822, 12288, 0,     4.113,
 87, 63, 87, 87, 88.549, 1.549, 15360, 0, 88.549, 91.355, 2.806, 1541, 91.355, 93.137, 1.782, 15360, 0,     6.137,
 89, 63, 89, 89, 90.524, 1.524, 15360, 0, 90.524, 93.501, 2.977, 1545, 93.501, 94.527, 1.026, 15360, 0,     5.527,
 90, 63, 90, 90, 91.694, 1.694, 16384, 0, 91.694, 94.02, 2.325, 1615, 94.02, 95.619, 1.6, 16384, 0,     5.619,
 91, 63, 91, 91, 92.645, 1.645, 13312, 0, 92.645, 95.445, 2.8, 1362, 95.445, 96.507, 1.062, 13312, 0,     5.507,
 92, 63, 92, 92, 93.819, 1.819, 16384, 0, 93.819, 96.393, 2.574, 1659, 96.393, 97.6, 1.207, 16384, 0,     5.600,
 93, 63, 93, 93, 94.77, 1.77, 13312, 0, 94.77, 97.433, 2.663, 1386, 97.433, 98.487, 1.054, 13312, 0,     5.487,
 94, 63, 94, 94, 95.794, 1.794, 14336, 0, 95.794, 98.425, 2.631, 1421, 98.425, 99.451, 1.026, 14336, 0,     5.451,
 95, 63, 95, 95, 96.745, 1.745, 13312, 0, 96.745, 99.417, 2.673, 1380, 99.417, 100.339, 0.921, 13312, 0,     5.339,
 96, 63, 96, 96, 97.622, 1.622, 12288, 0, 97.622, 100.156, 2.534, 1212, 100.156, 101.162, 1.006, 12288, 0,     5.162,
 97, 63, 97, 97, 98.799, 1.799, 16384, 0, 98.799, 101.771, 2.971, 1643, 101.771, 102.871, 1.1, 16384, 0,     5.871,
 98, 63, 98, 98, 99.75, 1.75, 13312, 0, 99.75, 102.127, 2.377, 1379, 102.127, 103.759, 1.631, 13312, 0,     5.759,
 99, 63, 99, 99, 100.556, 1.556, 11264, 0, 100.556, 103.474, 2.918, 1193, 103.474, 104.512, 1.039, 11264, 0,     5.512,
 100, 63, 100, 100, 101.434, 1.434, 12288, 0, 101.434, 103.847, 2.413, 1201, 103.847, 105.332, 1.485, 12288, 0,     5.332,
 101, 63, 101, 101, 102.531, 1.531, 15360, 0, 102.531, 105.624, 3.093, 1506, 105.624, 106.65, 1.026, 15360, 0,     5.650,
 102, 63, 102, 102, 103.555, 1.555, 14336, 0, 103.555, 105.98, 2.425, 1494, 105.98, 107.607, 1.627, 14336, 0,     5.607,
 103, 63, 103, 103, 104.584, 1.584, 14336, 0, 104.584, 107.745, 3.162, 1477, 107.745, 108.703, 0.958, 14336, 0,     5.703,
 104, 63, 104, 104, 105.542, 1.542, 13312, 0, 105.542, 107.966, 2.424, 1386, 107.966, 109.591, 1.625, 13312, 0,     5.591,
 105, 63, 105, 105, 106.492, 1.492, 13312, 0, 106.492, 109.733, 3.24, 1390, 109.733, 110.622, 0.889, 13312, 0,     5.622,
 106, 63, 106, 106, 107.589, 1.589, 15360, 0, 107.589, 110.186, 2.597, 1555, 110.186, 111.646, 1.46, 15360, 0,     5.646,
 107, 63, 107, 107, 108.613, 1.613, 14336, 0, 108.613, 111.735, 3.121, 1400, 111.735, 112.692, 0.958, 14336, 0,     5.692,
 108, 63, 108, 108, 109.426, 1.426, 11264, 0, 109.426, 111.825, 2.399, 1144, 111.825, 113.443, 1.618, 11264, 0,     5.443,
 110, 63, 110, 110, 111.547, 1.547, 14336, 0, 111.547, 113.898, 2.35, 1450, 113.898, 114.86, 0.963, 14336, 0,     4.860,
 109, 63, 109, 109, 110.523, 1.523, 15360, 0, 110.523, 113.945, 3.421, 1548, 113.945, 115.886, 1.941, 15360, 0,     6.886,
 111, 63, 111, 111, 112.717, 1.717, 16384, 0, 112.717, 116.197, 3.479, 1610, 116.197, 117.291, 1.094, 16384, 0,     6.291,
 112, 63, 112, 112, 113.888, 1.888, 16384, 0, 113.888, 116.356, 2.468, 1679, 116.356, 118.383, 2.027, 16384, 0,     6.383,
 113, 63, 113, 113, 114.912, 1.912, 14336, 0, 114.912, 118.339, 3.428, 1495, 118.339, 119.339, 1, 14336, 0,     6.339,
 114, 63, 114, 114, 115.936, 1.936, 14336, 0, 115.936, 118.359, 2.424, 1400, 118.359, 120.302, 1.943, 14336, 0,     6.302,
 115, 63, 115, 115, 116.74, 1.74, 11264, 0, 116.74, 119.956, 3.216, 1132, 119.956, 121.058, 1.102, 11264, 0,     6.058,
 116, 63, 116, 116, 117.623, 1.623, 12288, 0, 117.623, 120.132, 2.509, 1235, 120.132, 121.885, 1.753, 12288, 0,     5.885,
 118, 63, 118, 118, 119.525, 1.525, 12288, 0, 119.525, 121.959, 2.434, 1280, 121.959, 122.78, 0.821, 12288, 0,     4.780,
 117, 63, 117, 117, 118.647, 1.647, 14336, 0, 118.647, 122.026, 3.379, 1444, 122.026, 123.736, 1.71, 14336, 0,     6.736,
 120, 63, 120, 120, 121.353, 1.353, 11264, 0, 121.353, 123.691, 2.337, 1162, 123.691, 124.486, 0.796, 11264, 0,     4.486,
 119, 63, 119, 119, 120.549, 1.549, 14336, 0, 120.549, 124.062, 3.514, 1469, 124.062, 125.451, 1.389, 14336, 0,     6.451,
 121, 63, 121, 121, 122.24, 1.24, 12288, 0, 122.24, 125.504, 3.264, 1270, 125.504, 126.325, 0.821, 12288, 0,     5.325,
 122, 63, 122, 122, 123.41, 1.41, 16384, 0, 123.41, 126.376, 2.966, 1608, 126.376, 127.47, 1.094, 16384, 0,     5.470,
 123, 63, 123, 123, 124.297, 1.297, 12288, 0, 124.297, 127.29, 2.992, 1248, 127.29, 128.297, 1.007, 12288, 0,     5.297,
 124, 63, 124, 124, 125.184, 1.184, 12288, 0, 125.184, 128.111, 2.928, 1215, 128.111, 129.116, 1.005, 12288, 0,     5.116,
 125, 63, 125, 125, 126.21, 1.21, 14336, 0, 126.21, 129.371, 3.161, 1458, 129.371, 130.33, 0.959, 14336, 0,     5.330,
 126, 63, 126, 126, 127.389, 1.389, 16384, 0, 127.389, 130.47, 3.081, 1652, 130.47, 131.564, 1.094, 16384, 0,     5.564,
 127, 63, 127, 127, 128.486, 1.486, 15360, 0, 128.486, 131.66, 3.174, 1594, 131.66, 132.686, 1.026, 15360, 0,     5.686,
 128, 63, 128, 128, 129.656, 1.656, 16384, 0, 129.656, 132.813, 3.157, 1641, 132.813, 133.908, 1.094, 16384, 0,     5.908,
 129, 63, 129, 129, 130.461, 1.461, 11264, 0, 130.461, 133.34, 2.879, 1174, 133.34, 134.658, 1.318, 11264, 0,     5.658,
 130, 63, 130, 130, 131.412, 1.412, 13312, 0, 131.412, 134.713, 3.301, 1327, 134.713, 135.605, 0.893, 13312, 0,     5.605,
 131, 63, 131, 131, 132.296, 1.296, 12288, 0, 132.296, 135.132, 2.836, 1249, 135.132, 136.424, 1.292, 12288, 0,     5.424,
 132, 63, 132, 132, 133.466, 1.466, 16384, 0, 133.466, 137.06, 3.593, 1643, 137.06, 138.157, 1.097, 16384, 0,     6.157,
 133, 63, 133, 133, 134.496, 1.496, 14336, 0, 134.496, 137.197, 2.702, 1442, 137.197, 139.112, 1.915, 14336, 0,     6.112,
 135, 63, 135, 135, 136.544, 1.544, 12288, 0, 136.544, 139.048, 2.505, 1283, 139.048, 139.936, 0.887, 12288, 0,     4.936,
 134, 63, 134, 134, 135.666, 1.666, 16384, 0, 135.666, 139.439, 3.773, 1666, 139.439, 141.03, 1.591, 16384, 0,     7.030,
 136, 63, 136, 136, 137.568, 1.568, 14336, 0, 137.568, 141.132, 3.565, 1458, 141.132, 142.1, 0.967, 14336, 0,     6.100,
 137, 63, 137, 137, 138.665, 1.665, 15360, 0, 138.665, 141.682, 3.017, 1571, 141.682, 143.124, 1.442, 15360, 0,     6.124,
 138, 63, 138, 138, 139.543, 1.543, 12288, 0, 139.543, 142.952, 3.409, 1274, 142.952, 143.943, 0.991, 12288, 0,     5.943,
 139, 63, 139, 139, 140.42, 1.42, 12288, 0, 140.42, 143.439, 3.019, 1231, 143.439, 144.762, 1.323, 12288, 0,     5.762,
 140, 63, 140, 140, 141.371, 1.371, 13312, 0, 141.371, 144.901, 3.53, 1365, 144.901, 145.791, 0.89, 13312, 0,     5.791,
 141, 63, 141, 141, 142.395, 1.395, 14336, 0, 142.395, 145.481, 3.086, 1430, 145.481, 146.746, 1.265, 14336, 0,     5.746,
 142, 63, 142, 142, 143.346, 1.346, 13312, 0, 143.346, 146.776, 3.43, 1309, 146.776, 147.665, 0.889, 13312, 0,     5.665,
 143, 63, 143, 143, 144.37, 1.37, 14336, 0, 144.37, 147.61, 3.24, 1488, 147.61, 148.623, 1.013, 14336, 0,     5.623,
 144, 63, 144, 144, 145.248, 1.248, 12288, 0, 145.248, 148.599, 3.351, 1273, 148.599, 149.442, 0.843, 12288, 0,     5.442,
 145, 63, 145, 145, 146.125, 1.125, 12288, 0, 146.125, 149.374, 3.249, 1228, 149.374, 150.261, 0.887, 12288, 0,     5.261,
 146, 63, 146, 146, 147.08, 1.08, 13312, 0, 147.08, 150.529, 3.449, 1352, 150.529, 151.419, 0.89, 13312, 0,     5.419,
 147, 63, 147, 147, 147.965, 0.965, 12288, 0, 147.965, 151.179, 3.215, 1260, 151.179, 152.24, 1.061, 12288, 0,     5.240,
 148, 63, 148, 148, 148.811, 0.811, 11264, 0, 148.811, 152.166, 3.355, 1144, 152.166, 152.991, 0.825, 11264, 0,     4.991,
 149, 63, 149, 149, 150.112, 1.112, 15360, 0, 150.112, 153.324, 3.211, 1502, 153.324, 154.36, 1.036, 15360, 0,     5.360,
 150, 63, 150, 150, 151.215, 1.215, 15360, 0, 151.215, 154.346, 3.131, 1526, 154.346, 155.384, 1.038, 15360, 0,     5.384,
 151, 63, 151, 151, 152.166, 1.166, 13312, 0, 152.166, 155.252, 3.086, 1350, 155.252, 156.271, 1.019, 13312, 0,     5.271,
 152, 63, 152, 152, 153.116, 1.116, 13312, 0, 153.116, 156.275, 3.158, 1351, 156.275, 157.165, 0.89, 13312, 0,     5.165,
 153, 63, 153, 153, 153.994, 0.994, 12288, 0, 153.994, 157.019, 3.025, 1237, 157.019, 157.985, 0.966, 12288, 0,     4.985,
 154, 63, 154, 154, 155.109, 1.109, 15360, 0, 155.109, 158.455, 3.346, 1517, 158.455, 159.485, 1.03, 15360, 0,     5.485,
 155, 63, 155, 155, 156.067, 1.067, 13312, 0, 156.067, 159.016, 2.949, 1399, 159.016, 160.373, 1.357, 13312, 0,     5.373,
 156, 63, 156, 156, 157.237, 1.237, 16384, 0, 157.237, 160.856, 3.619, 1673, 160.856, 161.954, 1.099, 16384, 0,     5.954,
 157, 63, 157, 157, 158.118, 1.118, 12288, 0, 158.118, 160.856, 2.738, 1285, 160.856, 162.774, 1.918, 12288, 0,     5.774,
 159, 63, 159, 159, 160.03, 1.03, 12288, 0, 160.03, 162.683, 2.653, 1267, 162.683, 163.593, 0.91, 12288, 0,     4.593,
 158, 63, 158, 158, 159.15, 1.15, 14336, 0, 159.15, 162.865, 3.716, 1407, 162.865, 164.551, 1.686, 14336, 0,     6.551,
 161, 63, 161, 161, 161.818, 0.818, 11264, 0, 161.818, 164.481, 2.663, 1132, 164.481, 165.302, 0.821, 11264, 0,     4.302,
