DC1-HRG1-6,6.0,0.0019269
Switch: DC1-gateway,6.0,0.0
Switch: DC2-gateway,6.0,1.696440297266344E-14
DC2-HRG5-3,7.0,0.0025509
DC2-HRG5-10,7.0,0.0010723
DC2-HRG5-9,7.0,9.463E-4
DC2-HRG5-2,7.0,9.32E-4
DC2-HRG5-1,7.0,0.0223178
Switch: DC2-HRG4-core1,7.0,1.8445097879626893E-14
DC2-HRG5-4,7.0,0.0022334
DC2-HRG5-5,7.0,0.0024678
DC2-HRG5-7,7.0,9.859E-4
DC2-HRG5-8,7.0,9.491E-4
DC2-HRG5-6,7.0,7.168E-4
DC1-HRG1-8,7.0,8.446E-4
DC1-HRG3-5,7.0,0.0
DC1-HRG2-2,7.0,0.0
DC1-HRG3-8,7.0,0.0
DC1-HRG3-3,7.0,0.0
DC1-HRG3-1,7.0,0.0
DC1-HRG2-8,7.0,0.0
DC1-HRG1-9,7.0,0.0025579
DC1-HRG1-10,7.0,0.0021689
DC1-HRG3-2,7.0,0.0
DC1-HRG2-9,7.0,0.0
DC1-HRG2-3,7.0,0.0
DC1-HRG3-7,7.0,0.0
DC1-HRG3-6,7.0,0.0
DC1-HRG2-4,7.0,0.0
DC1-HRG2-6,7.0,0.0
DC1-HRG1-4,7.0,6.853E-4
DC1-HRG3-10,7.0,0.0
DC1-HRG3-4,7.0,0.0
DC1-HRG1-5,7.0,0.0051618
DC1-HRG1-1,7.0,0.0036215
Switch: DC1-HRG1-core1,7.0,0.0
DC1-HRG2-10,7.0,0.0
DC1-HRG2-5,7.0,0.0
DC1-HRG1-7,7.0,0.001822
DC1-HRG1-3,7.0,0.0029331
Switch: DC1-HRG2-core2,7.0,0.0
DC1-HRG2-7,7.0,0.0
Switch: DC1-HRG3-core3,7.0,0.0
DC1-HRG1-2,7.0,0.0028581
DC1-HRG2-1,7.0,0.0
DC1-HRG3-9,7.0,0.0
DC1-HRG1-6,7.0,0.0035661
Switch: DC1-gateway,7.0,0.0
Switch: DC2-gateway,7.0,1.8445097879626893E-14
DC2-HRG5-3,8.0,0.0019383
DC2-HRG5-10,8.0,9.5E-4
DC2-HRG5-9,8.0,9.652E-4
DC2-HRG5-2,8.0,7.775E-4
DC2-HRG5-1,8.0,0.0220768
Switch: DC2-HRG4-core1,8.0,1.8772310095283018E-14
DC2-HRG5-4,8.0,0.0025062
DC2-HRG5-5,8.0,0.0021123
DC2-HRG5-7,8.0,0.0023841
DC2-HRG5-8,8.0,0.0010256
DC2-HRG5-6,8.0,0.0
DC1-HRG1-8,8.0,6.257E-4
DC1-HRG3-5,8.0,0.0
DC1-HRG2-2,8.0,0.0
DC1-HRG3-8,8.0,0.0
DC1-HRG3-3,8.0,0.0
DC1-HRG3-1,8.0,0.0
DC1-HRG2-8,8.0,0.0
DC1-HRG1-9,8.0,0.0027963
DC1-HRG1-10,8.0,0.0020086
DC1-HRG3-2,8.0,0.0
DC1-HRG2-9,8.0,0.0
DC1-HRG2-3,8.0,0.0
DC1-HRG3-7,8.0,0.0
DC1-HRG3-6,8.0,0.0
DC1-HRG2-4,8.0,0.0
DC1-HRG2-6,8.0,0.0
DC1-HRG1-4,8.0,0.0015025
DC1-HRG3-10,8.0,0.0
DC1-HRG3-4,8.0,0.0
DC1-HRG1-5,8.0,0.0056781
DC1-HRG1-1,8.0,0.0035501
Switch: DC1-HRG1-core1,8.0,0.0
DC1-HRG2-10,8.0,0.0
DC1-HRG2-5,8.0,0.0
DC1-HRG1-7,8.0,0.0020625
DC1-HRG1-3,8.0,0.0022027
Switch: DC1-HRG2-core2,8.0,0.0
DC1-HRG2-7,8.0,0.0
Switch: DC1-HRG3-core3,8.0,0.0
DC1-HRG1-2,8.0,0.002542
DC1-HRG2-1,8.0,0.0
DC1-HRG3-9,8.0,0.0
DC1-HRG1-6,8.0,0.0032854
Switch: DC1-gateway,8.0,0.0
