Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 29, 9, 29, 29, 31.968, 2.968, 12288, 0, 31.968, 35.025, 3.056, 624, 35.025, 36.357, 1.332, 18432, 0, 36.357, 37.56, 1.204, 1440, 37.56, 38.456, 0.896, 9216, 0, 38.456, 40.173, 1.717, 1350, 40.173, 41.171, 0.998, 6144, 0, 41.171, 42.906, 1.735, 1200, 42.906, 43.367, 0.461, 5120, 0,    14.367,
 30, 9, 30, 30, 33.288, 3.288, 15360, 0, 33.288, 36.336, 3.048, 757, 36.336, 37.393, 1.057, 22528, 0, 37.393, 38.807, 1.414, 1760, 38.807, 39.897, 1.09, 11264, 0, 39.897, 41.377, 1.48, 1650, 41.377, 42.3, 0.923, 7168, 0, 42.3, 44.07, 1.771, 1400, 44.07, 44.489, 0.419, 5120, 0,    14.489,
 31, 9, 31, 31, 34.312, 3.312, 13312, 0, 34.312, 37.635, 3.322, 684, 37.635, 38.871, 1.236, 20480, 0, 38.871, 39.916, 1.046, 1600, 39.916, 40.812, 0.896, 10240, 0, 40.812, 42.498, 1.686, 1500, 42.498, 43.342, 0.844, 6144, 0, 43.342, 45.148, 1.806, 1200, 45.148, 45.655, 0.507, 5120, 0,    14.655,
 32, 9, 32, 32, 35.241, 3.241, 12288, 0, 35.241, 38.77, 3.529, 646, 38.77, 39.883, 1.114, 19456, 0, 39.883, 40.918, 1.035, 1520, 40.918, 41.816, 0.898, 9216, 0, 41.816, 43.601, 1.786, 1350, 43.601, 44.421, 0.82, 6144, 0, 44.421, 46.191, 1.769, 1200, 46.191, 46.65, 0.459, 5120, 0,    14.650,
 33, 9, 33, 33, 36.323, 3.323, 13312, 0, 36.323, 39.956, 3.633, 671, 39.956, 41.037, 1.081, 20480, 0, 41.037, 42.045, 1.007, 1600, 42.045, 43.127, 1.083, 10240, 0, 43.127, 44.622, 1.495, 1500, 44.622, 45.327, 0.705, 6144, 0, 45.327, 47.114, 1.787, 1200, 47.114, 47.534, 0.42, 5120, 0,    14.534,
 34, 9, 34, 34, 37.277, 3.277, 11264, 0, 37.277, 40.918, 3.642, 582, 40.918, 41.759, 0.841, 17408, 0, 41.759, 42.929, 1.17, 1360, 42.929, 43.979, 1.05, 8192, 0, 43.979, 45.397, 1.418, 1200, 45.397, 46.333, 0.936, 5120, 0, 46.333, 47.927, 1.593, 1000, 47.927, 48.321, 0.394, 4096, 0,    14.321,
 35, 9, 35, 35, 38.58, 3.58, 13312, 0, 38.58, 42.178, 3.598, 684, 42.178, 43.39, 1.212, 20480, 0, 43.39, 44.542, 1.153, 1600, 44.542, 45.608, 1.066, 10240, 0, 45.608, 46.749, 1.141, 1500, 46.749, 47.733, 0.984, 6144, 0, 47.733, 48.995, 1.262, 1200, 48.995, 49.395, 0.4, 5120, 0,    14.395,
 36, 9, 36, 36, 39.866, 3.866, 15360, 0, 39.866, 43.624, 3.758, 776, 43.624, 44.785, 1.161, 23552, 0, 44.785, 46.245, 1.459, 1840, 46.245, 47.487, 1.242, 11264, 0, 47.487, 48.609, 1.122, 1650, 48.609, 49.66, 1.051, 7168, 0, 49.66, 50.725, 1.065, 1400, 50.725, 51.179, 0.454, 5120, 0,    15.179,
 37, 9, 37, 37, 41.148, 4.148, 15360, 0, 41.148, 44.89, 3.742, 797, 44.89, 46.156, 1.266, 23552, 0, 46.156, 47.587, 1.43, 1840, 47.587, 48.56, 0.973, 11264, 0, 48.56, 49.724, 1.164, 1650, 49.724, 50.556, 0.832, 7168, 0, 50.556, 51.778, 1.222, 1400, 51.778, 52.241, 0.463, 5120, 0,    15.241,
 38, 9, 38, 38, 42.352, 4.352, 15360, 0, 42.352, 45.957, 3.605, 775, 45.957, 47.786, 1.829, 23552, 0, 47.786, 49.034, 1.248, 1840, 49.034, 50.281, 1.247, 11264, 0, 50.281, 51.64, 1.359, 1650, 51.64, 52.758, 1.117, 7168, 0, 52.758, 53.901, 1.144, 1400, 53.901, 54.318, 0.417, 5120, 0,    16.318,
