Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 39, 13, 39, 39, 40.003, 1.003, 9216, 0, 40.003, 41.215, 1.212, 772, 41.215, 41.9, 0.685, 4096, 0, 41.9, 42.309, 0.409, 600, 42.309, 42.821, 0.512, 2048, 0, 42.821, 43.034, 0.213, 200, 43.034, 43.183, 0.148, 1024, 0, 43.183, 43.283, 0.1, 200, 43.283, 43.295, 0.012, 0, 0,     4.295,
 40, 13, 40, 40, 41.139, 1.139, 11264, 0, 41.139, 42.362, 1.224, 918, 42.362, 43.223, 0.86, 5120, 0, 43.223, 43.722, 0.499, 750, 43.722, 44.493, 0.771, 3072, 0, 44.493, 44.784, 0.291, 300, 44.784, 44.941, 0.157, 1024, 0, 44.941, 45.041, 0.1, 200, 45.041, 45.053, 0.012, 0, 0,     5.053,
 41, 13, 41, 41, 42.265, 1.265, 11264, 0, 42.265, 43.514, 1.249, 917, 43.514, 44.376, 0.862, 5120, 0, 44.376, 44.876, 0.5, 750, 44.876, 45.651, 0.775, 3072, 0, 45.651, 45.942, 0.291, 300, 45.942, 46.091, 0.149, 1024, 0, 46.091, 46.205, 0.115, 200, 46.205, 46.217, 0.011, 0, 0,     5.217,
 42, 13, 42, 42, 43.191, 1.191, 9216, 0, 43.191, 44.444, 1.253, 744, 44.444, 45.132, 0.688, 4096, 0, 45.132, 45.532, 0.4, 600, 45.532, 46.163, 0.631, 2048, 0, 46.163, 46.356, 0.193, 200, 46.356, 46.504, 0.148, 1024, 0, 46.504, 46.61, 0.106, 200, 46.61, 46.622, 0.012, 0, 0,     4.622,
 43, 13, 43, 43, 44.215, 1.215, 10240, 0, 44.215, 45.462, 1.247, 813, 45.462, 46.326, 0.864, 5120, 0, 46.326, 46.841, 0.515, 750, 46.841, 47.609, 0.768, 3072, 0, 47.609, 47.899, 0.29, 300, 47.899, 48.051, 0.151, 1024, 0, 48.051, 48.159, 0.109, 200, 48.159, 48.171, 0.012, 0, 0,     5.171,
 44, 13, 44, 44, 45.137, 1.137, 9216, 0, 45.137, 46.376, 1.239, 727, 46.376, 47.06, 0.685, 4096, 0, 47.06, 47.463, 0.403, 600, 47.463, 48.128, 0.664, 2048, 0, 48.128, 48.326, 0.199, 200, 48.326, 48.475, 0.148, 1024, 0, 48.475, 48.575, 0.1, 200, 48.575, 48.586, 0.011, 0, 0,     4.586,
 45, 13, 45, 45, 46.266, 1.266, 11264, 0, 46.266, 47.553, 1.287, 937, 47.553, 48.409, 0.855, 5120, 0, 48.409, 48.904, 0.496, 750, 48.904, 49.672, 0.768, 3072, 0, 49.672, 49.977, 0.304, 300, 49.977, 50.125, 0.148, 1024, 0, 50.125, 50.217, 0.092, 200, 50.217, 50.22, 0.003, 0, 0,     5.220,
 46, 13, 46, 46, 47.392, 1.392, 11264, 0, 47.392, 48.673, 1.281, 889, 48.673, 49.529, 0.855, 5120, 0, 49.529, 50.026, 0.497, 750, 50.026, 50.794, 0.768, 3072, 0, 50.794, 51.093, 0.298, 300, 51.093, 51.243, 0.15, 1024, 0, 51.243, 51.344, 0.101, 200, 51.344, 51.354, 0.01, 0, 0,     5.354,
 47, 13, 47, 47, 48.519, 1.519, 11264, 0, 48.519, 49.832, 1.313, 922, 49.832, 50.695, 0.863, 5120, 0, 50.695, 51.211, 0.516, 750, 51.211, 51.98, 0.77, 3072, 0, 51.98, 52.28, 0.3, 300, 52.28, 52.429, 0.149, 1024, 0, 52.429, 52.532, 0.104, 200, 52.532, 52.544, 0.012, 0, 0,     5.544,
 48, 13, 48, 48, 49.441, 1.441, 9216, 0, 49.441, 50.826, 1.385, 787, 50.826, 51.515, 0.689, 4096, 0, 51.515, 51.924, 0.408, 600, 51.924, 52.492, 0.569, 2048, 0, 52.492, 52.691, 0.199, 200, 52.691, 52.84, 0.148, 1024, 0, 52.84, 52.935, 0.096, 200, 52.935, 52.946, 0.011, 0, 0,     4.946,
 49, 13, 49, 49, 50.465, 1.465, 10240, 0, 50.465, 51.924, 1.459, 872, 51.924, 52.779, 0.856, 5120, 0, 52.779, 53.283, 0.503, 750, 53.283, 54.051, 0.768, 3072, 0, 54.051, 54.355, 0.304, 300, 54.355, 54.507, 0.152, 1024, 0, 54.507, 54.608, 0.101, 200, 54.608, 54.619, 0.011, 0, 0,     5.619,
 50, 13, 50, 50, 51.284, 1.284, 8192, 0, 51.284, 52.746, 1.462, 652, 52.746, 53.464, 0.718, 4096, 0, 53.464, 53.855, 0.391, 600, 53.855, 54.566, 0.711, 2048, 0, 54.566, 54.775, 0.209, 200, 54.775, 54.93, 0.154, 1024, 0, 54.93, 55.031, 0.101, 200, 55.031, 55.043, 0.012, 0, 0,     5.043,
 51, 13, 51, 51, 52.103, 1.103, 8192, 0, 52.103, 53.565, 1.462, 656, 53.565, 54.249, 0.684, 4096, 0, 54.249, 54.648, 0.399, 600, 54.648, 55.169, 0.521, 2048, 0, 55.169, 55.369, 0.199, 200, 55.369, 55.517, 0.148, 1024, 0, 55.517, 55.632, 0.115, 200, 55.632, 55.634, 0.002, 0, 0,     4.634,
 52, 13, 52, 52, 52.922, 0.922, 8192, 0, 52.922, 54.391, 1.469, 659, 54.391, 55.076, 0.685, 4096, 0, 55.076, 55.48, 0.404, 600, 55.48, 55.992, 0.512, 2048, 0, 55.992, 56.197, 0.205, 200, 56.197, 56.354, 0.157, 1024, 0, 56.354, 56.456, 0.102, 200, 56.456, 56.468, 0.012, 0, 0,     4.468,
 53, 13, 53, 53, 54.132, 1.132, 11264, 0, 54.132, 55.563, 1.431, 929, 55.563, 56.426, 0.863, 5120, 0, 56.426, 56.937, 0.511, 750, 56.937, 57.708, 0.771, 3072, 0, 57.708, 57.999, 0.291, 300, 57.999, 58.153, 0.154, 1024, 0, 58.153, 58.252, 0.099, 200, 58.252, 58.264, 0.012, 0, 0,     5.264,
 54, 13, 54, 54, 54.952, 0.952, 8192, 0, 54.952, 56.466, 1.514, 716, 56.466, 57.158, 0.692, 4096, 0, 57.158, 57.56, 0.402, 600, 57.56, 58.22, 0.661, 2048, 0, 58.22, 58.411, 0.19, 200, 58.411, 58.559, 0.148, 1024, 0, 58.559, 58.663, 0.104, 200, 58.663, 58.675, 0.012, 0, 0,     4.675,
 55, 13, 55, 55, 56.03, 1.03, 10240, 0, 56.03, 57.467, 1.437, 801, 57.467, 58.329, 0.862, 5120, 0, 58.329, 58.845, 0.517, 750, 58.845, 59.614, 0.769, 3072, 0, 59.614, 59.909, 0.295, 300, 59.909, 60.06, 0.151, 1024, 0, 60.06, 60.174, 0.114, 200, 60.174, 60.18, 0.006, 0, 0,     5.180,
 56, 13, 56, 56, 56.961, 0.961, 9216, 0, 56.961, 58.382, 1.421, 733, 58.382, 59.075, 0.693, 4096, 0, 59.075, 59.487, 0.412, 600, 59.487, 60.125, 0.638, 2048, 0, 60.125, 60.316, 0.191, 200, 60.316, 60.465, 0.148, 1024, 0, 60.465, 60.572, 0.108, 200, 60.572, 60.584, 0.012, 0, 0,     4.584,
 57, 13, 57, 57, 57.825, 0.825, 8192, 0, 57.825, 59.261, 1.436, 704, 59.261, 59.95, 0.689, 4096, 0, 59.95, 60.347, 0.398, 600, 60.347, 60.859, 0.512, 2048, 0, 60.859, 61.059, 0.2, 200, 61.059, 61.208, 0.148, 1024, 0, 61.208, 61.298, 0.09, 200, 61.298, 61.31, 0.012, 0, 0,     4.310,
 58, 13, 58, 58, 58.825, 0.825, 8192, 0, 58.825, 60.107, 1.282, 678, 60.107, 60.798, 0.691, 4096, 0, 60.798, 61.198, 0.4, 600, 61.198, 61.709, 0.512, 2048, 0, 61.709, 61.917, 0.207, 200, 61.917, 62.065, 0.148, 1024, 0, 62.065, 62.177, 0.112, 200, 62.177, 62.189, 0.012, 0, 0,     4.189,
 59, 13, 59, 59, 59.928, 0.928, 9216, 0, 59.928, 61.049, 1.121, 751, 61.049, 61.741, 0.692, 4096, 0, 61.741, 62.157, 0.416, 600, 62.157, 62.669, 0.512, 2048, 0, 62.669, 62.869, 0.2, 200, 62.869, 63.018, 0.149, 1024, 0, 63.018, 63.116, 0.098, 200, 63.116, 63.128, 0.012, 0, 0,     4.128,
 60, 13, 60, 60, 61.133, 1.133, 11264, 0, 61.133, 62.303, 1.17, 930, 62.303, 63.158, 0.855, 5120, 0, 63.158, 63.657, 0.5, 750, 63.657, 64.425, 0.768, 3072, 0, 64.425, 64.731, 0.306, 300, 64.731, 64.88, 0.148, 1024, 0, 64.88, 64.979, 0.1, 200, 64.979, 64.982, 0.003, 0, 0,     4.982,
 61, 13, 61, 61, 62.157, 1.157, 10240, 0, 62.157, 63.309, 1.152, 806, 63.309, 64.165, 0.856, 5120, 0, 64.165, 64.678, 0.513, 750, 64.678, 65.448, 0.77, 3072, 0, 65.448, 65.755, 0.308, 300, 65.755, 65.903, 0.148, 1024, 0, 65.903, 66.015, 0.112, 200, 66.015, 66.027, 0.012, 0, 0,     5.027,
 62, 13, 62, 62, 62.976, 0.976, 8192, 0, 62.976, 64.173, 1.197, 690, 64.173, 64.857, 0.684, 4096, 0, 64.857, 65.258, 0.401, 600, 65.258, 65.966, 0.708, 2048, 0, 65.966, 66.165, 0.199, 200, 66.165, 66.314, 0.149, 1024, 0, 66.314, 66.409, 0.095, 200, 66.409, 66.421, 0.012, 0, 0,     4.421,
 63, 13, 63, 63, 64.133, 1.133, 11264, 0, 64.133, 65.3, 1.167, 902, 65.3, 66.156, 0.855, 5120, 0, 66.156, 66.661, 0.506, 750, 66.661, 67.437, 0.775, 3072, 0, 67.437, 67.736, 0.299, 300, 67.736, 67.884, 0.148, 1024, 0, 67.884, 67.986, 0.101, 200, 67.986, 67.996, 0.01, 0, 0,     4.996,
 64, 13, 64, 64, 65.157, 1.157, 10240, 0, 65.157, 66.388, 1.231, 871, 66.388, 67.243, 0.855, 5120, 0, 67.243, 67.756, 0.513, 750, 67.756, 68.527, 0.771, 3072, 0, 68.527, 68.829, 0.302, 300, 68.829, 68.977, 0.148, 1024, 0, 68.977, 69.079, 0.102, 200, 69.079, 69.091, 0.012, 0, 0,     5.091,
 65, 13, 65, 65, 66.284, 1.284, 11264, 0, 66.284, 67.552, 1.268, 925, 67.552, 68.407, 0.855, 5120, 0, 68.407, 68.902, 0.495, 750, 68.902, 69.671, 0.769, 3072, 0, 69.671, 69.982, 0.311, 300, 69.982, 70.13, 0.148, 1024, 0, 70.13, 70.235, 0.105, 200, 70.235, 70.247, 0.012, 0, 0,     5.247,
