Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 59, 536, 59, 59, 60.088, 1.088, 10240, 0, 60.088, 63.189, 3.101, 1025, 63.189, 64.15, 0.961, 10240, 0,     5.150,
 60, 536, 60, 60, 61.112, 1.112, 11264, 0, 61.112, 63.51, 2.398, 1105, 63.51, 65.091, 1.581, 11264, 0,     5.091,
 61, 536, 61, 61, 61.95, 0.95, 9216, 0, 61.95, 64.876, 2.926, 924, 64.876, 65.862, 0.985, 9216, 0,     4.862,
 62, 536, 62, 62, 62.751, 0.751, 8192, 0, 62.751, 65.123, 2.373, 885, 65.123, 66.546, 1.423, 8192, 0,     4.546,
 63, 536, 63, 63, 64.03, 1.03, 11264, 0, 64.03, 66.893, 2.863, 1108, 66.893, 67.839, 0.947, 11264, 0,     4.839,
 64, 536, 64, 64, 64.97, 0.97, 10240, 0, 64.97, 67.103, 2.133, 1084, 67.103, 68.694, 1.59, 10240, 0,     4.694,
 65, 536, 65, 65, 66.123, 1.123, 12288, 0, 66.123, 69.176, 3.053, 1256, 69.176, 70.202, 1.026, 12288, 0,     5.202,
 66, 536, 66, 66, 67.153, 1.153, 11264, 0, 67.153, 69.304, 2.151, 1180, 69.304, 71.142, 1.838, 11264, 0,     5.142,
 68, 536, 68, 68, 69.294, 1.294, 11264, 0, 69.294, 71.332, 2.038, 1112, 71.332, 72.274, 0.942, 11264, 0,     4.274,
 67, 536, 67, 67, 68.27, 1.27, 12288, 0, 68.27, 71.501, 3.231, 1277, 71.501, 73.298, 1.797, 12288, 0,     6.298,
 70, 536, 70, 70, 71.165, 1.165, 9216, 0, 71.165, 73.173, 2.008, 916, 73.173, 74.07, 0.897, 9216, 0,     4.070,
 69, 536, 69, 69, 70.318, 1.318, 11264, 0, 70.318, 73.407, 3.089, 1142, 73.407, 75.009, 1.602, 11264, 0,     6.009,
 71, 536, 71, 71, 72.103, 1.103, 10240, 0, 72.103, 75.181, 3.077, 1098, 75.181, 76.046, 0.865, 10240, 0,     5.046,
 72, 536, 72, 72, 73.321, 1.321, 13312, 0, 73.321, 75.782, 2.461, 1303, 75.782, 77.159, 1.376, 13312, 0,     5.159,
 73, 536, 73, 73, 74.439, 1.439, 12288, 0, 74.439, 77.489, 3.051, 1270, 77.489, 78.516, 1.027, 12288, 0,     5.516,
 74, 536, 74, 74, 75.276, 1.276, 9216, 0, 75.276, 77.509, 2.233, 945, 77.509, 79.288, 1.779, 9216, 0,     5.288,
 76, 536, 76, 76, 77.048, 1.048, 9216, 0, 77.048, 79.214, 2.165, 938, 79.214, 80.056, 0.842, 9216, 0,     4.056,
 75, 536, 75, 75, 76.211, 1.211, 10240, 0, 76.211, 79.306, 3.096, 1000, 79.306, 80.911, 1.605, 10240, 0,     5.911,
 77, 536, 77, 77, 77.798, 0.798, 8192, 0, 77.798, 80.829, 3.031, 886, 80.829, 81.595, 0.766, 8192, 0,     4.595,
 78, 536, 78, 78, 78.937, 0.937, 10240, 0, 78.937, 81.219, 2.282, 1053, 81.219, 82.45, 1.231, 10240, 0,     4.450,
 79, 536, 79, 79, 79.938, 0.938, 10240, 0, 79.938, 82.711, 2.773, 1035, 82.711, 83.573, 0.862, 10240, 0,     4.573,
 80, 536, 80, 80, 81.038, 1.038, 11264, 0, 81.038, 83.356, 2.319, 1172, 83.356, 84.514, 1.157, 11264, 0,     4.514,
 81, 536, 81, 81, 82.062, 1.062, 11264, 0, 82.062, 84.786, 2.724, 1137, 84.786, 85.735, 0.949, 11264, 0,     4.735,
 82, 536, 82, 82, 82.9, 0.9, 9216, 0, 82.9, 85.128, 2.228, 974, 85.128, 86.511, 1.382, 9216, 0,     4.511,
 83, 536, 83, 83, 83.844, 0.844, 9216, 0, 83.844, 86.511, 2.668, 949, 86.511, 87.281, 0.77, 9216, 0,     4.281,
 84, 536, 84, 84, 85.034, 1.034, 11264, 0, 85.034, 87.167, 2.133, 1117, 87.167, 88.22, 1.053, 11264, 0,     4.220,
 85, 536, 85, 85, 85.871, 0.871, 9216, 0, 85.871, 88.205, 2.333, 932, 88.205, 88.99, 0.785, 9216, 0,     3.990,
 86, 536, 86, 86, 87.123, 1.123, 12288, 0, 87.123, 89.516, 2.393, 1292, 89.516, 90.542, 1.026, 12288, 0,     4.542,
 87, 536, 87, 87, 88.24, 1.24, 12288, 0, 88.24, 90.544, 2.304, 1267, 90.544, 91.57, 1.026, 12288, 0,     4.570,
 88, 536, 88, 88, 89.265, 1.265, 11264, 0, 89.265, 91.603, 2.338, 1143, 91.603, 92.549, 0.946, 11264, 0,     4.549,
 89, 536, 89, 89, 90.104, 1.104, 9216, 0, 90.104, 92.354, 2.25, 994, 92.354, 93.326, 0.973, 9216, 0,     4.326,
 90, 536, 90, 90, 90.856, 0.856, 8192, 0, 90.856, 93.21, 2.354, 884, 93.21, 94.009, 0.799, 8192, 0,     4.009,
 91, 536, 91, 91, 91.751, 0.751, 8192, 0, 91.751, 93.971, 2.221, 890, 93.971, 94.692, 0.721, 8192, 0,     3.692,
 92, 536, 92, 92, 92.937, 0.937, 10240, 0, 92.937, 95.035, 2.097, 1002, 95.035, 95.89, 0.855, 10240, 0,     3.890,
 93, 536, 93, 93, 93.844, 0.844, 9216, 0, 93.844, 95.734, 1.89, 970, 95.734, 96.662, 0.929, 9216, 0,     3.662,
 94, 536, 94, 94, 95.037, 1.037, 11264, 0, 95.037, 97.085, 2.048, 1125, 97.085, 98.026, 0.941, 11264, 0,     4.026,
 95, 536, 95, 95, 95.883, 0.883, 9216, 0, 95.883, 97.673, 1.79, 982, 97.673, 98.794, 1.121, 9216, 0,     3.794,
 96, 536, 96, 96, 96.844, 0.844, 9216, 0, 96.844, 98.751, 1.907, 907, 98.751, 99.562, 0.811, 9216, 0,     3.562,
 97, 536, 97, 97, 97.937, 0.937, 10240, 0, 97.937, 99.829, 1.893, 1041, 99.829, 100.694, 0.864, 10240, 0,     3.694,
 98, 536, 98, 98, 98.937, 0.937, 10240, 0, 98.937, 100.816, 1.88, 1034, 100.816, 101.672, 0.855, 10240, 0,     3.672,
 99, 536, 99, 99, 100.223, 1.223, 13312, 0, 100.223, 102.6, 2.376, 1305, 102.6, 103.715, 1.116, 13312, 0,     4.715,
 100, 536, 100, 100, 100.968, 0.968, 8192, 0, 100.968, 102.6, 1.632, 891, 102.6, 104.4, 1.801, 8192, 0,     4.400,
 101, 536, 101, 101, 101.844, 0.844, 9216, 0, 101.844, 104.246, 2.402, 900, 104.246, 105.178, 0.932, 9216, 0,     4.178,
 102, 536, 102, 102, 102.844, 0.844, 9216, 0, 102.844, 104.501, 1.657, 911, 104.501, 105.951, 1.45, 9216, 0,     3.951,
 103, 536, 103, 103, 103.844, 0.844, 9216, 0, 103.844, 105.906, 2.063, 913, 105.906, 106.719, 0.813, 9216, 0,     3.719,
 104, 536, 104, 104, 104.845, 0.845, 9216, 0, 104.845, 106.492, 1.647, 906, 106.492, 107.487, 0.995, 9216, 0,     3.487,
 105, 536, 105, 105, 106.031, 1.031, 11264, 0, 106.031, 108.114, 2.082, 1143, 108.114, 109.057, 0.943, 11264, 0,     4.057,
 106, 536, 106, 106, 106.869, 0.869, 9216, 0, 106.869, 108.655, 1.786, 977, 108.655, 109.825, 1.17, 9216, 0,     3.825,
 107, 536, 107, 107, 107.937, 0.937, 10240, 0, 107.937, 110.104, 2.168, 1092, 110.104, 110.96, 0.856, 10240, 0,     3.960,
 108, 536, 108, 108, 108.844, 0.844, 9216, 0, 108.844, 110.588, 1.744, 960, 110.588, 111.728, 1.14, 9216, 0,     3.728,
 109, 536, 109, 109, 110.124, 1.124, 12288, 0, 110.124, 112.469, 2.344, 1286, 112.469, 113.499, 1.03, 12288, 0,     4.499,
 110, 536, 110, 110, 111.055, 1.055, 10240, 0, 111.055, 112.98, 1.925, 1061, 112.98, 114.353, 1.372, 10240, 0,     4.353,
 111, 536, 111, 111, 111.986, 0.986, 10240, 0, 111.986, 114.305, 2.319, 1011, 114.305, 115.208, 0.903, 10240, 0,     4.208,
 112, 536, 112, 112, 113.03, 1.03, 11264, 0, 113.03, 115.162, 2.132, 1170, 115.162, 116.148, 0.986, 11264, 0,     4.148,
 113, 536, 113, 113, 114.06, 1.06, 11264, 0, 114.06, 116.366, 2.306, 1134, 116.366, 117.307, 0.941, 11264, 0,     4.307,
 114, 536, 114, 114, 115.177, 1.177, 12288, 0, 115.177, 117.5, 2.323, 1278, 117.5, 118.533, 1.033, 12288, 0,     4.533,
 115, 536, 115, 115, 116.111, 1.111, 10240, 0, 116.111, 118.23, 2.119, 1024, 118.23, 119.394, 1.164, 10240, 0,     4.394,
 116, 536, 116, 116, 117.236, 1.236, 12288, 0, 117.236, 119.785, 2.549, 1257, 119.785, 120.811, 1.026, 12288, 0,     4.811,
 117, 536, 117, 117, 118.453, 1.453, 13312, 0, 118.453, 120.842, 2.389, 1308, 120.842, 121.963, 1.121, 13312, 0,     4.963,
 118, 536, 118, 118, 119.291, 1.291, 9216, 0, 119.291, 121.602, 2.311, 997, 121.602, 122.734, 1.132, 9216, 0,     4.734,
 119, 536, 119, 119, 120.408, 1.408, 12288, 0, 120.408, 123.097, 2.689, 1239, 123.097, 124.127, 1.03, 12288, 0,     5.127,
 120, 536, 120, 120, 121.157, 1.157, 8192, 0, 121.157, 123.225, 2.068, 894, 123.225, 124.81, 1.584, 8192, 0,     4.810,
 121, 536, 121, 121, 122.182, 1.182, 11264, 0, 122.182, 125.231, 3.049, 1174, 125.231, 126.171, 0.941, 11264, 0,     5.171,
 122, 536, 122, 122, 123.215, 1.215, 11264, 0, 123.215, 125.401, 2.186, 1195, 125.401, 127.113, 1.712, 11264, 0,     5.113,
 124, 536, 124, 124, 124.985, 0.985, 9216, 0, 124.985, 127.096, 2.111, 927, 127.096, 127.881, 0.785, 9216, 0,     3.881,
 123, 536, 123, 123, 124.146, 1.146, 10240, 0, 124.146, 127.195, 3.05, 1079, 127.195, 128.738, 1.542, 10240, 0,     5.738,
