Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 36, 88, 36, 36, 37.453, 1.453, 10240, 0, 37.453, 39.948, 2.495, 1069, 39.948, 40.949, 1.001, 10240, 0, 40.949, 43.141, 2.192, 1500, 43.141, 43.919, 0.778, 7168, 0, 43.919, 45.949, 2.03, 1050, 45.949, 46.836, 0.887, 9216, 0,    10.836,
 37, 88, 37, 37, 38.391, 1.391, 11264, 0, 38.391, 41.173, 2.782, 1183, 41.173, 42.042, 0.868, 11264, 0, 42.042, 43.962, 1.92, 1650, 43.962, 44.781, 0.819, 8192, 0, 44.781, 46.76, 1.979, 1200, 46.76, 47.624, 0.865, 10240, 0,    10.624,
 38, 88, 38, 38, 39.245, 1.245, 10240, 0, 39.245, 41.718, 2.473, 1063, 41.718, 42.83, 1.111, 10240, 0, 42.83, 44.809, 1.98, 1500, 44.809, 45.534, 0.725, 7168, 0, 45.534, 47.504, 1.969, 1050, 47.504, 48.333, 0.83, 9216, 0,    10.333,
 39, 88, 39, 39, 40.354, 1.354, 13312, 0, 40.354, 43.466, 3.112, 1374, 43.466, 44.492, 1.026, 13312, 0, 44.492, 46.66, 2.168, 1950, 46.66, 47.582, 0.922, 9216, 0, 47.582, 49.582, 2, 1350, 49.582, 50.527, 0.945, 12288, 0,    11.527,
 40, 88, 40, 40, 41.378, 1.378, 12288, 0, 41.378, 43.76, 2.382, 1226, 43.76, 45.438, 1.677, 12288, 0, 45.438, 47.44, 2.002, 1800, 47.44, 48.503, 1.064, 9216, 0, 48.503, 50.496, 1.993, 1350, 50.496, 51.474, 0.977, 12288, 0,    11.474,
 41, 88, 41, 41, 42.316, 1.316, 11264, 0, 42.316, 45.411, 3.095, 1167, 45.411, 46.304, 0.893, 11264, 0, 46.304, 48.497, 2.193, 1650, 48.497, 49.329, 0.832, 8192, 0, 49.329, 51.374, 2.045, 1200, 51.374, 52.261, 0.887, 10240, 0,    11.261,
 42, 88, 42, 42, 43.258, 1.258, 11264, 0, 43.258, 45.73, 2.472, 1173, 45.73, 47.172, 1.441, 11264, 0, 47.172, 49.276, 2.104, 1650, 49.276, 50.149, 0.872, 8192, 0, 50.149, 52.273, 2.124, 1200, 52.273, 53.061, 0.788, 10240, 0,    11.061,
 43, 88, 43, 43, 44.367, 1.367, 13312, 0, 44.367, 47.629, 3.261, 1327, 47.629, 48.654, 1.026, 13312, 0, 48.654, 50.82, 2.166, 1950, 50.82, 51.742, 0.921, 9216, 0, 51.742, 53.744, 2.002, 1350, 53.744, 54.689, 0.945, 12288, 0,    11.689,
 44, 88, 44, 44, 45.477, 1.477, 13312, 0, 45.477, 47.95, 2.473, 1325, 47.95, 49.685, 1.735, 13312, 0, 49.685, 51.85, 2.166, 1950, 51.85, 52.782, 0.932, 9216, 0, 52.782, 54.786, 2.004, 1350, 54.786, 55.731, 0.945, 12288, 0,    11.731,
 45, 88, 45, 45, 46.33, 1.33, 10240, 0, 46.33, 49.337, 3.006, 1023, 49.337, 50.477, 1.14, 10240, 0, 50.477, 52.488, 2.011, 1500, 52.488, 53.5, 1.012, 7168, 0, 53.5, 55.299, 1.799, 1050, 55.299, 56.44, 1.141, 9216, 0,    11.440,
 46, 88, 46, 46, 47.098, 1.098, 9216, 0, 47.098, 49.548, 2.45, 960, 49.548, 51.189, 1.64, 9216, 0, 51.189, 53.351, 2.163, 1350, 53.351, 54.115, 0.763, 6144, 0, 54.115, 56.134, 2.019, 900, 56.134, 57.073, 0.939, 8192, 0,    11.073,
 47, 88, 47, 47, 48.207, 1.207, 13312, 0, 48.207, 51.539, 3.332, 1314, 51.539, 52.565, 1.026, 13312, 0, 52.565, 54.731, 2.166, 1950, 54.731, 55.653, 0.922, 9216, 0, 55.653, 57.647, 1.995, 1350, 57.647, 58.593, 0.945, 12288, 0,    11.593,
 48, 88, 48, 48, 49.317, 1.317, 13312, 0, 49.317, 51.793, 2.477, 1346, 51.793, 53.589, 1.796, 13312, 0, 53.589, 55.768, 2.179, 1950, 55.768, 56.692, 0.924, 9216, 0, 56.692, 58.695, 2.002, 1350, 58.695, 59.643, 0.949, 12288, 0,    11.643,
 50, 88, 50, 50, 51.197, 1.197, 10240, 0, 51.197, 53.62, 2.423, 1096, 53.62, 54.41, 0.79, 10240, 0, 54.41, 56.402, 1.992, 1500, 56.402, 57.409, 1.007, 7168, 0, 57.409, 59.203, 1.794, 1050, 59.203, 60.36, 1.157, 9216, 0,    10.360,
 49, 88, 49, 49, 50.341, 1.341, 12288, 0, 50.341, 53.671, 3.331, 1270, 53.671, 55.355, 1.684, 12288, 0, 55.355, 57.768, 2.412, 1800, 57.768, 58.695, 0.927, 9216, 0, 58.695, 60.707, 2.012, 1350, 60.707, 61.652, 0.945, 12288, 0,    12.652,
 51, 88, 51, 51, 52.231, 1.231, 12288, 0, 52.231, 55.7, 3.469, 1248, 55.7, 56.647, 0.947, 12288, 0, 56.647, 58.646, 1.999, 1800, 58.646, 59.616, 0.97, 9216, 0, 59.616, 61.609, 1.993, 1350, 61.609, 62.598, 0.989, 12288, 0,    11.598,
 52, 88, 52, 52, 53.34, 1.34, 13312, 0, 53.34, 55.9, 2.56, 1338, 55.9, 57.672, 1.772, 13312, 0, 57.672, 59.934, 2.261, 1950, 59.934, 60.855, 0.922, 9216, 0, 60.855, 62.859, 2.004, 1350, 62.859, 63.804, 0.945, 12288, 0,    11.804,
 53, 88, 53, 53, 54.108, 1.108, 9216, 0, 54.108, 57.307, 3.199, 960, 57.307, 58.381, 1.075, 9216, 0, 58.381, 60.154, 1.772, 1350, 60.154, 61.469, 1.316, 6144, 0, 61.469, 62.945, 1.476, 900, 62.945, 64.434, 1.489, 8192, 0,    11.434,
 54, 88, 54, 54, 55.047, 1.047, 11264, 0, 55.047, 57.802, 2.755, 1142, 57.802, 59.248, 1.446, 11264, 0, 59.248, 61.783, 2.535, 1650, 61.783, 62.608, 0.825, 8192, 0, 62.608, 64.637, 2.029, 1200, 64.637, 65.425, 0.788, 10240, 0,    11.425,
 55, 88, 55, 55, 56.247, 1.247, 14336, 0, 56.247, 59.675, 3.428, 1421, 59.675, 60.78, 1.105, 14336, 0, 60.78, 63.113, 2.333, 2100, 63.113, 64.14, 1.028, 10240, 0, 64.14, 66.359, 2.219, 1500, 66.359, 67.383, 1.024, 13312, 0,    12.383,
 56, 88, 56, 56, 57.277, 1.277, 12288, 0, 57.277, 59.878, 2.601, 1245, 59.878, 61.725, 1.847, 12288, 0, 61.725, 63.782, 2.057, 1800, 63.782, 65.063, 1.281, 9216, 0, 65.063, 67.064, 2.001, 1350, 67.064, 68.329, 1.265, 12288, 0,    12.329,
 58, 88, 58, 58, 59.325, 1.325, 10240, 0, 59.325, 61.681, 2.356, 1074, 61.681, 62.513, 0.832, 10240, 0, 62.513, 64.779, 2.266, 1500, 64.779, 65.785, 1.006, 7168, 0, 65.785, 67.914, 2.129, 1050, 67.914, 69.043, 1.129, 9216, 0,    11.043,
 57, 88, 57, 57, 58.472, 1.472, 14336, 0, 58.472, 62.024, 3.552, 1405, 62.024, 63.625, 1.601, 14336, 0, 63.625, 66.115, 2.49, 2100, 66.115, 67.14, 1.025, 10240, 0, 67.14, 69.359, 2.219, 1500, 69.359, 70.387, 1.028, 13312, 0,    13.387,
 59, 88, 59, 59, 60.273, 1.273, 11264, 0, 60.273, 63.607, 3.334, 1153, 63.607, 64.492, 0.885, 11264, 0, 64.492, 66.63, 2.137, 1650, 66.63, 67.96, 1.33, 8192, 0, 67.96, 69.743, 1.783, 1200, 69.743, 71.175, 1.432, 10240, 0,    12.175,
 60, 88, 60, 60, 61.382, 1.382, 13312, 0, 61.382, 64.266, 2.884, 1344, 64.266, 65.517, 1.251, 13312, 0, 65.517, 68.293, 2.776, 1950, 68.293, 69.215, 0.922, 9216, 0, 69.215, 71.363, 2.148, 1350, 71.363, 72.311, 0.948, 12288, 0,    12.311,
 61, 88, 61, 61, 62.406, 1.406, 12288, 0, 62.406, 65.745, 3.339, 1278, 65.745, 66.693, 0.949, 12288, 0, 66.693, 68.692, 1.999, 1800, 68.692, 70.137, 1.445, 9216, 0, 70.137, 72.132, 1.995, 1350, 72.132, 73.256, 1.123, 12288, 0,    12.256,
 62, 88, 62, 62, 63.43, 1.43, 12288, 0, 63.43, 66.313, 2.884, 1229, 66.313, 67.638, 1.325, 12288, 0, 67.638, 70.293, 2.654, 1800, 70.293, 71.214, 0.922, 9216, 0, 71.214, 73.362, 2.148, 1350, 73.362, 74.308, 0.946, 12288, 0,    12.308,
 63, 88, 63, 63, 64.368, 1.368, 11264, 0, 64.368, 67.748, 3.38, 1198, 67.748, 68.623, 0.875, 11264, 0, 68.623, 70.528, 1.905, 1650, 70.528, 72.034, 1.506, 8192, 0, 72.034, 73.909, 1.875, 1200, 73.909, 75.096, 1.187, 10240, 0,    12.096,
 64, 88, 64, 64, 65.393, 1.393, 12288, 0, 65.393, 68.447, 3.054, 1280, 68.447, 69.568, 1.121, 12288, 0, 69.568, 72.292, 2.723, 1800, 72.292, 73.213, 0.922, 9216, 0, 73.213, 75.362, 2.149, 1350, 75.362, 76.307, 0.945, 12288, 0,    12.307,
 65, 88, 65, 65, 66.502, 1.502, 13312, 0, 66.502, 69.95, 3.448, 1319, 69.95, 70.982, 1.032, 13312, 0, 70.982, 73.149, 2.167, 1950, 73.149, 74.135, 0.985, 9216, 0, 74.135, 76.127, 1.992, 1350, 76.127, 77.252, 1.125, 12288, 0,    12.252,
 66, 88, 66, 66, 67.355, 1.355, 10240, 0, 67.355, 70.254, 2.899, 1077, 70.254, 71.779, 1.525, 10240, 0, 71.779, 73.969, 2.19, 1500, 73.969, 74.851, 0.882, 7168, 0, 74.851, 76.922, 2.07, 1050, 76.922, 77.964, 1.042, 9216, 0,    11.964,
 67, 88, 67, 67, 68.294, 1.294, 11264, 0, 68.294, 71.884, 3.59, 1159, 71.884, 72.761, 0.877, 11264, 0, 72.761, 74.984, 2.223, 1650, 74.984, 75.81, 0.825, 8192, 0, 75.81, 77.91, 2.1, 1200, 77.91, 78.752, 0.842, 10240, 0,    11.752,
 68, 88, 68, 68, 69.403, 1.403, 13312, 0, 69.403, 72.531, 3.127, 1367, 72.531, 73.785, 1.254, 13312, 0, 73.785, 76.139, 2.354, 1950, 76.139, 77.061, 0.922, 9216, 0, 77.061, 79.063, 2.002, 1350, 79.063, 80.01, 0.947, 12288, 0,    12.010,
